           3  0.11881877109408379        18.684994004666805       0.49407521635293961        26.610731039196253        45.984978221356869     
          10   3.5896584391593933E-002   18.604597937315702       0.16478244960308075        8.1368532404303551        26.964862983673811     
          32   1.1264976114034653E-002   18.354687303304672        5.1199749112129211E-002   1.9973192326724529        20.421596400439739     
         100   4.2176954448223114E-003   18.517115637660027        1.5840556472539902E-002  0.54757960885763168        19.087097778916359     
         316   1.5445314347743988E-003   18.532756257802248        5.3353346884250641E-003  0.15830927714705467        18.698666620999575     
        1000   4.9800425767898560E-004   18.429294977337122        1.6262792050838470E-003   8.0272328108549118E-002   18.511932495981455     
        3162   1.6459822654724121E-004   18.498243309557438        4.9788504838943481E-004   6.1117466539144516E-002   18.560106564313173     
       10000   6.0878694057464600E-005   18.531545713543892        1.7465278506278992E-004   4.4489141553640366E-002   18.576311718672514     
       31623   3.1415373086929321E-005   18.454521924257278        6.4168125391006470E-005   3.6632671952247620E-002   18.491343654692173     
      100000   1.7065554857254028E-005   18.516206450760365        3.2626092433929443E-005   3.1086783856153488E-002   18.547360435128212     
      316228   1.4550983905792236E-005   18.523103982210159        2.0757317543029785E-005   4.0439750999212265E-002   18.563592765480280     
     1000000   1.7274171113967896E-005   18.047539744526148        4.8913061618804932E-006   2.2525202482938766E-002   18.070103533565998     
     3162278   1.7013400793075562E-005   20.624426804482937        2.5779008865356445E-006   3.9792738854885101E-002   20.664251323789358     
    10000000   1.3791024684906006E-005   24.600807536393404        9.1269612312316895E-007   4.7715190798044205E-002   24.648551866412163     
    31622777   2.0232051610946655E-005   49.169736918061972        1.6689300537109375E-006  0.14985929802060127        49.319636009633541     
